Kaskadenregler {m};cascade control;noun;;
Kaskadenröntgenröhre {f};cascade (X-ray) tube;noun;;
Kaskadenschaltung {f};cascade connection;noun;;
Kaskadenschaltung {f};tandem connection;noun;;
Kaskadensortierung {f};cascade sorting;noun;;
Kaskadenstilentwurf {m};cascading style sheet;noun;;
Kaskadenstilentwurf {m};cascading stylesheet;noun;;
Kaskadenteilchen {n};cascade particle;noun;;
Kaskaden {pl};cascades;noun;;
Kaskadeur {m};(circus) acrobat;noun;;
Kaskade {f};cascade;noun;;
Kaskade {f};waterfall [cascade];noun;;
Kaskadierausgang {m};cascading output;noun;;
kaskadierbar;cascadable;adj;;
Kaskadiereingang {m};cascading input;noun;;
kaskadierend;cascading;adj pres-p;;
kaskadierende Folgen {pl} [selten für: lawinenartige Folgen];cascading consequences;noun;;
kaskadieren [das Erweitern / Zusammenschließen von neuen Netzwerkkreisen];to cascade;verb;;
kaskadiert;cascaded;adj past-p;;
kaskadierter Buck-Boost-Wandler {m};cascaded buck-boost converter;noun;;
kaskadierte Stylesheets {pl};cascading style sheets <CSS>;noun;;
Kaskadierung {f};cascading;noun;;
Kaskarillabaum {m};cascarilla (tree) [Croton eluteria];noun;;
Kaskett {n};casquetel;noun;;
Kaskett {n};casquet;noun;;
Kaskodenschaltung {f};cascode (circuit);noun;;
Kaskode {f} [Kofferwort, abgeleitet von ”kaskadierte Kathode”];cascode [portmanteau derived from ”cascaded cathode”];noun;;
Kaskoschaden {m};hull loss;noun;;
Kaskoschaden {m};own-damage claim;noun;;
kaskoversichern;to insure comprehensively;verb;;
kaskoversichert;comprehensively insured;adj;;
kaskoversichert sein;to have comprehensive insurance;verb;;
Kaskoversicherung {f};collision damage insurance [Am.] <CDI>;noun;;
Kaskoversicherung {f};comprehensive insurance [Br.];noun;;
Kasolit {m};kasolite [Pb(UO2)SiO4·H2O];noun;;
Kaspar {m};Caspar;noun;;
Kaspar {m};Jasper;noun;;
Kaspel {f} [österr.] [regional];pigswill;noun;;
Kaspel {f} [österr.] [regional];swill [kitchen refuse for pigs];noun;;
Kaspel {f} [österr.] [regional] [Küchenabfälle und Speisereste zur Schweinefütterung];wash [kitchen slops fed to pigs];noun;;
kasperhaft;zany  [coll.];adj;;
Kasperlepuppe {f} [südd.];Punch puppet;noun;;
Kasperletheater {n};Punch-and-Judy show;noun;;
Kasperletheater {n} [Objekt];puppet theater [Am.] [object];noun;;
Kasperle {m} {n} [im Kasperletheater];Punch;noun;;
Kasperliade {f} [österr.] [auch fig.];piece of buffoonery [also fig.];noun;;
Kasperlitheater {n} [schweiz.];Punch-and-Judy show;noun;;
Kasperli {n} [schweiz.];Punch;noun;;
Kasperlkopf {m} [bayer., österr.] [pej.];fool;noun;;
Kasperltheater {n} [österr.];Punch-and-Judy show;noun;;
Kasperltheater {n} [österr.] [Objekt];Punch-and-Judy theatre [Br.] [object];noun;;
Kasperl {m} {n} [österr.] [südd.];Punchinello;noun;;
Kasperl {m} {n} [österr.] [südd.];Punch;noun;;
Kasperl {m} {n} [österr.] [südd.] [ugs.];clown;noun;;
Kasperl {m} {n} [österr.] [südd.] [ugs.];fool;noun;;
kaspernd;clowning about;;;
kaspernd [ugs.];clowning;adj pres-p;;
kaspern [ugs.];to act like a clown;verb;;
Kasperpuppe {f};Punch puppet;noun;;
Kaspertheater {n};Punch-and-Judy show;noun;;
Kasper {m} [im Kasperletheater];Punch;noun;;
Kasper {m} [ugs.] [lustiger Kerl];clown;noun;;
Kaspikönigshuhn {n};Caspian snowcock [Tetraogallus caspius];noun;;
Kaspineunauge {n};Caspian lamprey [Caspiomyzon wagneri];noun;;
Kaspische Azurjungfer {f} [Libellenart];Turkish damselfly [Coenagrion ponticum];noun;;
Kaspische Bachschildkröte {f};Caspian turtle [Mauremys caspica];noun;;
Kaspische Bachschildkröte {f};striped-neck terrapin [Mauremys caspica];noun;;
Kaspische Kaulquappengrundel {f};Caspian tadpole-goby [Benthophilus macrocephalus];noun;;
Kaspische Pfeilnatter {f};Caspian whipsnake [Dolichophis caspius, syn.: Coluber caspius, Hierophis caspius];noun;;
Kaspische Pfeilnatter {f};large whipsnake [Dolichophis caspius, syn.: Coluber caspius, Hierophis caspius];noun;;
Kaspische Pfeilnatter {f};large whip snake [Dolichophis jugularis, syn.: Coluber jugularis];noun;;
Kaspische Reif-Weide {f};Caspic willow [Salix acutifolia];noun;;
Kaspische Reif-Weide {f};long-leaved violet willow [Salix acutifolia];noun;;
Kaspische Reif-Weide {f};sharp-leaf willow [Salix acutifolia];noun;;
Kaspische Reif-Weide {f};Siberian violet willow [Salix acutifolia];noun;;
Kaspischer Geradfingergecko {m};Caspian straight-fingered gecko [Alsophylax pipiens];noun;;
Kaspische Robbe {f};Caspian seal [Pusa caspica, syn.: Phoca caspica];noun;;
Kaspischer Rapfen {m};(Aral) asp [Aspius aspius, syn.: A. rapax, A. transcaucasius, A. vulgaris, Cyprinus aspius, C. rapax, Leuciscus aspius];noun;;
Kaspischer Steinbeißer {m};Caspian spined loach [Sabanejewia caspia, syn.: Cobitis caspia];noun;;
Kaspischer Steinbeißer {m};Caspian spiny loach [Sabanejewia caspia, syn.: Cobitis caspia];noun;;
Kaspischer Tiger {m} [ausgestorben];Caspian tiger [Panthera tigris virgata] [extinct];noun;;
Kaspischer Wolf {m};Caspian Sea wolf [Canis lupus cubanensis];noun;;
Kaspische Senke {f};Caspian Depression;noun;;
Kaspisches Kleinpferd {n};Caspian horse;noun;;
Kaspisches Königshuhn {n};Caspian snowcock [Tetraogallus caspius, syn.: Tetraogallus szechenyii];noun;;
Kaspisches Meer {n};Caspian Sea;noun;;
Kaspisches Pony {n};Caspian pony [Caspian horse];noun;;
Kaspische Springnatter {f};Caspian whipsnake [Dolichophis caspius, syn.: Coluber caspius, Hierophis caspius];noun;;
Kaspische Springnatter {f};large whipsnake [Dolichophis caspius, syn.: Coluber caspius, Hierophis caspius];noun;;
Kaspische Wasserschildkröte {f};Caspian terrapin [Mauremys caspica];noun;;
Kaspische Wasserschildkröte {f};stripe-necked terrapin [Mauremys caspica];noun;;
Kaspische Weide {f};Caspic willow [Salix acutifolia, syn.: S. caspica];noun;;
Kaspische Weide {f};long-leaved violet willow [Salix acutifolia];noun;;
Kaspische Weide {f};sharp-leaf willow [Salix acutifolia];noun;;
Kaspische Weide {f};Siberian violet willow [Salix acutifolia];noun;;
Kaspische Zornnatter {f} [Pfeilnatter];large whip snake [Dolichophis jugularis, syn.: Coluber jugularis];noun;;
Kaspische Zwergtulpe {f};miniature tulip [Tulipa biflora];noun;;
Kaspische Zwergtulpe {f};two-flowered tulip [Tulipa biflora];noun;;
Kaspisee {m} [veraltend] [Kaspisches Meer];Caspian Sea;noun;;
Kassa-Kaufposition {f};long spot position;noun;;
Kassaangebot {n};spot offer;noun;;
Kassa bei Auftragserteilung. [bes. österr.];Cash with order.;;;
Kassabuch {n};cash book;noun;;
Kassabuch {n};day book;noun;;
Kassageschäfte {pl};dealings for cash;noun;;
Kassageschäft {n};cash bargain;noun;;
Kassageschäft {n};cash transaction;noun;;
Kassageschäft {n};dealing for cash;noun;;
Kassageschäft {n};spot deal;noun;;
Kassageschäft {n};spot operation;noun;;
Kassageschäft {n};spot trading;noun;;
Kassageschäft {n};spot transaction;noun;;
Kassageschäft {n};transaction for cash;noun;;
Kassainstrumente {pl};actuals;noun;;
Kassakauf {m};spot purchase;noun;;
Kassakonto {n};cash account;noun;;
Kassakurse {pl};spot prices;noun;;
Kassakurs {m};cash price;noun;;
Kassakurs {m};cash quotation;noun;;
Kassakurs {m};spot price;noun;;
Kassakurs {m};spot quotation;noun;;
Kassakurs {m};spot rate;noun;;
Kassala {n};Kasala;noun;;
Kassalieferungen {pl};spot deliveries;noun;;
Kassalieferung {f};spot delivery;noun;;
Kassamakler {m};spot broker;noun;;
Kassamarktpapiere {pl};actuals;noun;;
Kassamarkt {m};actual market;noun;;
Kassamarkt {m};cash market;noun;;
Kassamarkt {m};spot market;noun;;
Kassamittelkurs {m};mean spot rate;noun;;
Kassamrakete {f};Qassam rocket;noun;;
Kassamärkte {pl};cash markets;noun;;
Kassander {m};Cassander;noun;;
Kassandraruf {m} [geh.];prophecy of doom;noun;;
Kassandra {f} [auch fig. geh. veraltend: Unheilsprophet];Cassandra [also fig.: prophet of disaster];noun;;
Kassasturz {m} [Rsv.];cashing-up;noun;;
Kassationsgerichtshof {m} [auch Kassationshof, Kassationsgericht];Court of Cassation [final appellate court in Italy, among other nations];noun;;
Kassationsgericht {n};court of cassation;noun;;
Kassationshof {m};court of cassation;noun;;
Kassationshöfe {pl};courts of cassation;noun;;
Kassationsschrift {f};cassation statement;noun;;
Kassation {f};cassation;noun;;
Kassation {f};military degradation;noun;;
Kassation {f};nullification;noun;;
Kassation {f};quashing;noun;;
Kassation {f};weeding;noun;;
kassatorische Klausel {f};forfeit clause;noun;;
Kassaumsatz {m};spot sales {pl};noun;;
Kassava {f};cassava [Manihot esculenta];noun;;
Kassaverkauf {m};spot sale;noun;;
Kassave {f};cassava [Manihot esculenta];noun;;
Kassaware {f};cash commodity;noun;;
Kassawa {f};cassava [Manihot esculenta];noun;;
Kassa {f} [z. B. im Kaufhaus] [österr.];cash desk;noun;;
Kassa {f} [österr.] [Kasse / Schalter in Kino, Theater etc.];box office;noun;;
Kasse abrechnen;to cash up;verb;;
Kasse abrechnen;to do the till;verb;;
Kasse gegen Dokumente;cash against documents (c.a.d.);;;
Kasse gegen Dokumente;cash for documents;;;
Kasse gegen Dokumente;documents against payment <D/P>;;;
Kasseler Braun / Kasslerbraun {n};Cologne earth;noun;;
Kasseler Braun;Van Dyke brown;;;
Kasselerbraun {n};Cassel earth;noun;;
Kasseler Erde {f};Cassel earth;noun;;
Kasseler Erde {f};Cassel umber;noun;;
Kasseler {m};inhabitant of Kassel;noun;;
Kasseler {n};smoked pork chop;noun;;
Kassel {n};Kassel;noun;;
Kasse machen;to cash up;verb;;
Kasse machen [ugs.];to cash in;verb;;
Kasse machen [ugs.];to ring the register [coll.];verb;;
Kasse machen [ugs.] [Gewinn erzielen];to make bank [coll.] [earn a lot of money];verb;;
Kassemachen {n} [ugs.];making bank [coll.];noun;;
Kassenabschluss {m};balancing the cash;noun;;
Kassenabschluss {m};closing the cash accounts;noun;;
Kassenabschlüsse {pl};closings the cash accounts;noun;;
Kassenabteilung {f};money-office;noun;;
Kassenabteilung {f};money office;noun;;
Kassenanweisung {f};cash order;noun;;
Kassenanweisung {f};disbursement instruction;noun;;
Kassenanweisung {f};order for payment;noun;;
Kassenanweisung {f};pay voucher;noun;;
Kassenanzeige {f};till display;noun;;
Kassenarzt {m};doctor on the panel;noun;;
Kassenarzt {m};Health Service doctor [Br.];noun;;
Kassenarzt {m};HMO doctor [Am.];noun;;
Kassenarzt {m};National Health general practitioner [British equivalent];noun;;
Kassenarzt {m};NHS doctor [Br.];noun;;
Kassenarzt {m};preferred provider [Am.] [physician];noun;;
Kassenarzt {m} [Vertragsarzt einer gesetzlichen Krankenkase];SHI-accredited doctor / physician;noun;;
Kassenausgang {m};cash out;noun;;
Kassenausgleich {m};cash adjustment;noun;;
Kassenausstattung {f} mit Bargeld;cash float;noun;;
Kassenautomat {m} [bes. bei Parkplätzen, Parkhäusern];pay machine [esp. at car park];noun;;
Kassenbeamter {m};cashier;noun;;
Kassenbeamter {m};teller;noun;;
Kassenbeleg {m};cash voucher;noun;;
Kassenbeleg {m};receipt;noun;;
Kassenbeleg {m};sales slip [Am.];noun;;
Kassenbereich {m};checkout area [in shops];noun;;
Kassenbereich {m} [z. B. einer Bank];cash till area;noun;;
Kassenbericht {m};cash report;noun;;
Kassenbestandskoeffizient {m};cash ratio;noun;;
Kassenbestand {m};balance in hand;noun;;
Kassenbestand {m};balance of cash;noun;;
Kassenbestand {m};cash assets {pl};noun;;
Kassenbestand {m};cash balance;noun;;
Kassenbestand {m};cash flow;noun;;
Kassenbestand {m};cash holdings {pl};noun;;
Kassenbestand {m};cash in hand;noun;;
Kassenbestand {m};cash in vault;noun;;
Kassenbestand {m};cash on hand;noun;;
Kassenbestand {m};till money;noun;;
Kassenbilanz {f};cash balance;noun;;
Kassenblock {m};receipt book;noun;;
Kassenbon {m};receipt;noun;;
Kassenbon {m};sales check;noun;;
Kassenbon {m};sales slip [Am.];noun;;
Kassenbon {m};till receipt;noun;;
Kassenbotenversicherung {f};cash messenger insurance;noun;;
Kassenbote {m};cash messenger;noun;;
Kassenbote {m};messenger;noun;;
Kassenbrille {f};NHS specs [Br.];noun;;
Kassenbrille {f};standard-issue glasses;noun;;
Kassenbuchung {f};cash entry;noun;;
Kassenbuch {n};cash account book;noun;;
Kassenbuch {n};cash book;noun;;
Kassenbuch {n};cashbook;noun;;
Kassenbuch {n};cash journal;noun;;
Kassenbüro {n};pay-office;noun;;
Kassendarlehen {n};cash loan;noun;;
Kassendefizit {n};cash deficit;noun;;
Kassendefizit {n};cash shortfall;noun;;
Kassendefizit {n};till shortage;noun;;
Kassendiebstahl {m};theft from the till;noun;;
Kassendiebstähle {pl};thefts from the till;noun;;
Kassendisposition {f};money management;noun;;
Kasseneingang {m};cash in;noun;;
Kassenerfolg {m};box-office hit;noun;;
Kassenerfolg {m};box-office success;noun;;
Kassenfinanzierung {f};financing of cash requirements;noun;;
Kassenflop {m};box-office flop;noun;;
Kassenfluss {m};cash flow;noun;;
Kassenführerin {f};treasurer [female];noun;;
Kassenführer {m};treasurer;noun;;
Kassenführungserfordernisse {pl};cash management needs;noun;;
Kassenführungserfordernisse {pl};cash management requirements;noun;;
Kassenführungsmethode {f};cash management technique;noun;;
Kassenführungspolitik {f};cash management policy;noun;;
Kassenführungsrisiko {n};cash management risk;noun;;
Kassenführungsverantwortung {f};cash management responsibility;noun;;
Kassenführung {f};cash management;noun;;
Kassenfüller {m} [ugs.];box-office hit;noun;;
Kassengehilfe {m};assistant cashier;noun;;
Kassengestell {n} [ugs.];NHS specs {pl} [Br.] [coll.];noun;;
Kassengift {n} [fig.];box-office poison;noun;;
Kassenguthaben {n};cash balance;noun;;
Kassenhaushaltsplan {m};estimate of cash requirements;noun;;
Kassenhäuschen {n};pay booth;noun;;
Kassenhäuschen {n};pay kiosk;noun;;
Kassenhäuschen {pl};pay booths;noun;;
Kassenkladde {f} [bes. nordd.];cash diary;noun;;
Kassenknüller {m} [ugs.];box-office biggie [coll.];noun;;
Kassenkonto {n};cash account;noun;;
Kassenkredit {m};ways and means advance;noun;;
Kassenkurator und Direktor der Verwaltung des Hausschatzes [Preußen vor 1918];Keeper of the Privy Purse [Br.] [royal household officer];;;
Kassenlade {f};cash drawer;noun;;
Kassenlage {f};cash (flow) situation;noun;;
Kassenmagnet {m};box-office bonanza [Am.];noun;;
Kassenmagnet {m};box-office draw;noun;;
Kassenmagnet {m};crowd-puller;noun;;
Kassenmagnet {m};crowdpuller;noun;;
kassenmäßiger Abfluss {m};cash outflow;noun;;
kassenmäßiger Zufluss {m};cash inflow;noun;;
Kassenobligation {f};medium term bond;noun;;
Kassenpatient {m};National Health Service patient [Br.];noun;;
Kassenpatient {m};panel patient;noun;;
Kassenpatient {m};public health patient [esp. Br.];noun;;
Kassenpersonal {n};checkout staff;noun;;
Kassenpraxis {f};panel practice;noun;;
Kassenprüfer {m};cash auditor;noun;;
Kassenprüfung vornehmen;to audit the cash;verb;;
Kassenprüfung {f};cash auditing;noun;;
Kassenprüfung {f};cash audit;noun;;
Kassenprüfung {f};cash desk checkout;noun;;
Kassenquittung {f};cash receipt;noun;;
Kassenraum {m};cash office;noun;;
Kassenraum {m};counter hall;noun;;
Kassenrekorde {pl};box office records;noun;;
Kassenrekord {m};box office record;noun;;
Kassenrevision {f};cash audit;noun;;
Kassenrevision {f};cash stock taking;noun;;
Kassenschalter {m};bank teller window;noun;;
Kassenschalter {m};cash desk;noun;;
Kassenschalter {m};cashier's desk;noun;;
Kassenschalter {m};cashier's office;noun;;
Kassenschalter {m};teller's cage [Am.] [in a bank];noun;;
Kassenschalter {m};teller's counter;noun;;
Kassenschalter {m};teller's window;noun;;
Kassenscheck {m};cashier's check [Am.];noun;;
Kassenscheck {m};cashier's cheque [Br.];noun;;
Kassenschlager {m};bestseller;noun;;
Kassenschlager {m};big seller;noun;;
Kassenschlager {m};blockbuster movie;noun;;
